source,target,value
Gantetsu,Gon,2
Neji,Shiin,2
Neji,Sharingan,2
Nejior,Shikamaru,2
Neji,meanShino,2
Neji,me,2
Neji,fatso,2
Neji,everyonethan,2
Gamatatsu,Jiraiya,2
Tsukiko,ding-dong-ding,2
Kiba,Tunneling,2
Jonin,removingKurenai,2
Kiba,Transform,2
Kiba,That,2
Kiba,Shinemon,2
Jirocho,Shizune,2
Kiba,Kibawith,2
Tsunade,lt,2
Akamaru,Shinemon,2
Akamaru,Sazanami,2
Akamaru,Pervy,2
Tsunade,isManda,2
Tsunade,eitherOrochimaru,2
Tsunade,controland,2
Tsunade,becomeHokage,2
Tsunade,this,2
Tsunade,mewho,2
Tsunade,meto,2
Tsunade,a,2
Akamaru,Temari,2
Akamaru,Tayuya,2
Tsunade,Tsunadehas,2
Gaara,Iron,2
Gaara,Ino,2
Kekkei,Sharingan,2
Jutsuthat,Rasengan,2
Jutsuthat,Naruto,2
Kazekage,Uchiha,2
Jutsu,Lee,2
Kiba,Sakon,2
Kiba,Rock,2
Kiba,Narutoto,2
Uchiha,thatNeji,2
Uchiha,on,2
U,lnu,2
Akamaru,Hana,2
Akamaru,Guy,2
Kiba,Leaf,2
Jutsu,by,2
Jutsu,Ushi,2
Jutsu,Uma,2
Ki,Naruto,2
Kekkei,Zabuza,2
Gamakichi,Jiraiya,2
Gamakichi,Gamatatsu,2
Gamabunta,Sakura,2
Neji,beShino,2
Neji,Uchiha,2
Neji,Tunneling,2
Orochimaru,Orochimaruduring,2
G-Guy?,Lee,2
Gaara,Jutsu,2
Gaara,Jonin,2
Gaara,Iruka,2
Akamaru,Bushy,2
Gaara,Hyuga,2
Ninja,Ran,2
Gaaraof,Uchiha,2
Gaaraof,Nejithat,2
Nejithat,Uchiha,2
Gaara,lnu,2
Gaara,isSasuke,2
Ninja,head,2
Akahoshiis,Sumaru,2
Uchiha,whatKazekage,2
Uchiha,thatSasuke,2
Katsuyu,Naruto,2
Karashidid,Sansho,2
Karashidid,Raiga,2
Kabuto,Kazekage,2
Karashi,Karashidid,2
KAKASHI,–,2
K-Kurenai,Yakumo,2
K-Kurenai,Unkai,2
K-Karashi,Sansho,2
K-Kakashi,Sasuke,2
K-Kakashi,Kakashi,2
Akahoshi,The,2
Kabuto,Sarutobi,2
Kabuto,Sanninas,2
Kabuto,Oli,2
Katsuyu,meto,2
Unkai,beKurenai,2
Udon,–,2
Udon,village!Konohamaru,2
Udon,isNaruto,2
Ninjareally,Raijin,2
Agira,Sakura,2
Yakumo,d,2
Yakumo,beKurenai,2
Yakumo,askKurenai,2
Yakumo,aboutYakumo,2
Kabuto,Shikamaru,2
Kabuto,Sharingan,2
Kabuto,Ninjaby,2
Kabuto,Nine-Tailed,2
Karashi,aboutKarashi,2
Wagarashi,whenJirocho,2
Akahoshi,Jutsueven,2
Akahoshi,Hoshikageof,2
Akahoshi,Genin,2
Akahoshi,Farewell,2
Akahoshi,Beast,2
Akagi,Naruto,2
Agira,Yagura,2
Gaarajust,Neji,2
Gaaraand,Kakashi,2
Ninja,Sensei,2
Ninja,Sasame,2
Ninja,Sarutobi,2
Ninja,Sagi,2
Ninja,Rogue,2
Gaara,Tsunade,2
Gaara,Tora,2
Gaara,The,2
Gaara,Suiko,2
Ninjas,Sasuke,2
Ninjas,Rock,2
Kakashi,Nine-Tailed,2
Kakashi,Leaf,2
Kakashi,Kunoichi,2
Kagero,a,2
Kagero,Leaf,2
Kage,Sumaru,2
Kankuro,Yoroi,2
Kankuro,Proctor,2
Kankuro,Neji,2
Kagetsu,entireKagetsu,2
Kages,Orochimaru,2
Kankuro,Naruto,2
Kamikiri,Orochimaru,2
Kagari,Naruto,2
Kabuto,willKimimaro,2
Yakumo,importantKurenai,2
Kakashi,Uchiha,2
hitsuji,ne,2
Kakashi,Sasukeis,2
Kakashi,Sasukeare,2
!,lsaribi,2
the,–,2
ne,uma,2
ofYakumo,whomMurakumo,2
tori,uma,2
-Lord,Akahoshi,2
-Gaara,Gaara,2
!ls,Kurenai,2
Agari,Akamaru,2
Abumi,Sasuke,2
Abate,Sensei,2
Yoroi,the,2
Hayate,Shinobi,2
Hayate,Sakura,2
Hayate,Obito,2
Hayate,Kakashi,2
Hiashi,Naruto,2
tatsu,uma,2
tatsu,tori,2
Gaara,Sagi,2
Gaara,Pervy,2
Ole,Shikamaru,2
Ninjas,the,2
Gaara,U,2
Kakashi,Sakon,2
Kakashi,Owashi,2
Kakashi,Orochimaruduring,2
Kakashi,Yashamaru,2
whereSasuke,–,1
!lruka,Iruka,1
!lruka,Naruto,1
!lruka,Tsubaki,1
!ls,Guy,1
!ls,I,1
!ls,Naruto,1
!ls,Sakura,1
!ls,Yakumo,1
!ls,d,1
-Gaara,Akamaru,1
locateSasuke,ofSasuke,1
A,Kinuta,1
A,Kankuro,1
A,Kabuto,1
A,Iruka,1
A,Gamatatsu,1
A,Gamakichi,1
A,Gaara,1
A,Chunin,1
A,Amachi,1
-Lord,Neji,1
-Lord,Natsuhi,1
isManda,meto,1
in,the,1
importantKurenai,underKurenai,1
idiotsJirobo,mewho,1
Kakashi,aboutSasuke,1
Kakashi,aboutDosu,1
Kakashi,Zaku,1
Kakashi,Sarutobi,1
Kakashi,Saru,1
Kakashi,Rasengan,1
Kakashi,Raiga,1
Kakashi,Pocha,1
Kakashi,Orochimaruever,1
Kakashi,Oli,1
Kakashi,Zabuzahad,1
Kakashi,Zabuza?!Hey,1
Kakashi,Yoroi,1
Kakashi,Tsunade's,1
Kakashi,Transform,1
Kakashi,Tori,1
Kakashi,Ne,1
Kakashi,Narutoin,1
Kakashi,Moso,1
Kakashi,Land,1
Kakashi,Kurosuki,1
Kakashi,Komei,1
Kakashi,thatKakashi,1
Kakashi,myselffor,1
Kakashi,meto,1
Kakashi,measureSasuke,1
Kakashi,mealong,1
Kakashi,lt,1
Kakashi,kickedBushy,1
Kakashi,isKakashi,1
Kakashi,fightSasuke,1
Kakashi,alsoSasuke,1
Kakashi,Kekkei,1
Kakashi,Kazekage,1
Kakashi,Kakashiof,1
Kakashi,Kakashi?Does,1
Kagetsu,Tobei,1
Kages,Sasuke,1
Kages,Sarutobi,1
Kankuro,Kunoichi,1
Kamizuru,whenHinata,1
Kamikiri,Orochimaruand,1
Kamikiri,Leaf,1
Kakashiof,Tazuna,1
Kakashi?Does,Naruto,1
Kakashi,whereKakashi,1
Kakashi,trainSasuke,1
Kakashi,thatltachi,1
Kages,Kazekage,1
Kages,Kakashi,1
Kagero,the,1
Kagero,andSasame,1
Kagero,Rasengan,1
Kagero,Pervy,1
Kagero,Orochimaruand,1
Kanpachi,timeto,1
Kanpachi,Rokusuke,1
Kanpachi,Karashi,1
Kankuro,the,1
Kankuro,Shizune,1
Kankuro,Shikamaru,1
Kankuro,Orochimaru,1
Kakashi,Kin,1
Kakashi,Kidomaru,1
K-Karashi,Lee,1
K-Karashi,L,1
K-Karashi,Karashi,1
Kabuto,Sannin,1
Kabuto,Nawakiand,1
Kabuto,Narutowould,1
Karashi,L,1
Kanpachifrom,Rokusuke,1
Kage,Kakashi,1
Kagari,Sasuke,1
Kabuto,aboutNaruto,1
Kabuto,Tsunadedo,1
Kabuto,Temari,1
Kabuto,Shinobifrom,1
Kabuto,Shino,1
Kabuto,Sasukein,1
Kazekage,Shikamaru,1
Kazekage,Sakura,1
Kazekage,Raido,1
Kazekage,Ninja,1
Kayo,Tsunade,1
Katsuyu,isManda,1
Katsuyu,Tamaya,1
Katsuyu,Shizune,1
Katsuyu,Sannin,1
Katsuyu,Orochimaruto,1
Katsuyu,Lee,1
Katsuyu,Leaf,1
Katsu,Shikamaru,1
Kabuto,Kankuro,1
Kabuto,Kages,1
Kabuki,Suiko,1
Kazekage,on,1
Kazekage,melike,1
Jutsuto,the,1
Jutsuto,Tsunade,1
Jutsuto,Sitting,1
Jutsuto,Sasuke,1
Jutsuto,Kakashi,1
Jutsuthat,the,1
Jutsuthat,Tsunade,1
Jutsuthat,Kakashi,1
Jutsus,Kakashi,1
Jutsuone,Uchiha,1
Jutsueven,Tsunade,1
Jutsueven,Sumaru,1
Jutsueven,Natsuhi,1
Jutsueven,Naruto,1
Jutsu,intoOrochimaru,1
Jutsu,afterSasuke,1
Jutsu,Zabuza,1
Jutsu,U,1
Jutsu,Tora,1
Jutsu,The,1
Jutsu,Tenten,1
Jutsu,Tazuna,1
Ki,Zu,1
Ki,Sagi,1
Ki,Ma,1
Kekkei,The,1
Kekkei,Sasukeusing,1
Kekkei,Sakura,1
Kekkei,Naruto,1
Kazekage,thatSasuke,1
Kiba,Sensei,1
Kiba,Satomi,1
Kiba,Sand,1
Jutsu,Sasuketo,1
Jutsu,Rock,1
Jutsu,Raido,1
Jutsu,Neji,1
Jutsu,Mizuki,1
Jutsu,Mi,1
Kiba,Rasengan,1
Kiba,Proctor,1
Kiba,Narutoall,1
Kiba,Lion,1
Kiba,Kimimaro,1
Jutsu,lnu,1
Jutsu,letOrochimaru,1
Kiba,Yagura,1
Kiba,Unkai,1
Junko,Sasuke,1
Junko,Naruto,1
Junko,Kakashi,1
Jonin,whomMurakumo,1
Jonin,underKurenai,1
Jonin,ofYakumo,1
Jonin,jonin,1
Jonin,head,1
Jonin,fromKurenai,1
Jonin,Zabuza,1
Jonin,Uchiha,1
Jonin,The,1
Kiba,Tsunadeto,1
Kiba,Shinoas,1
Kiba,thatGenno,1
Kiba,removingKurenai,1
Kiba,reallyOrochimaru,1
Kiba,ofYakumo,1
Kiba,ofSasuke,1
Kiba,meanShino,1
Kiba,me,1
Kiba,locateSasuke,1
Kiba,intoAkamaru,1
Kiba,insideYakumo,1
Kiba,him,1
Kiba,head,1
Kiba,correctsTayuya,1
Kiba,andKurenai,1
Kiba,a,1
Kiba,Yakumoout,1
Jirocho,Uzumaki,1
Jirocho,Shinobi,1
Jirocho,Sakura,1
Jirochi,Naruto,1
Jonin,Sarutobi,1
Jonin,Sakura,1
Jonin,Orochimaruare,1
Jonin,Orochimaru,1
Jonin,Narutothink,1
Jonin,Murakumo,1
Jonin,Kurama,1
Jonin,Konohamaru,1
Kibaand,Tsunade,1
Kibaand,The,1
Kiba,wasYuhi,1
Kiba,tim,1
Jirobo,fightSasuke,1
Jirobo,Sakura,1
Jirobo,Orochimaruduring,1
Jirobo,Ninja,1
Jirobo,Naruto,1
Jirobo,Kimimaro,1
Kidomaru,mewho,1
Kidomaru,fightSasuke,1
Kidomaru,Sakura,1
Kidomaru,Rasengan,1
Kidomaru,Orochimaruduring,1
Kidomaru,Kimimaro,1
Kibawith,intoAkamaru,1
Kibaor,Transform,1
Jonin,Kakashi?Does,1
Jirocho,–,1
Killer,Lee,1
Jiraiyawill,aboutNaruto,1
Jiraiyawill,Sasuke,1
Jiraiyawill,Sakura,1
Jiraiyawill,Narutowould,1
Jiraiyawill,Kabuto,1
Jiraiyato,Sakura,1
Jiraiyaeagerly,The,1
Kikusuke,Tsunade,1
Kikusuke,The,1
Kikusuke,Ruiga,1
Kikusuke,Ninja,1
Kikunojouwill,Shizune,1
Kikunojouwill,Naruto,1
Kikunojou,Shadow,1
Jirobo,the,1
Jiraiya,Shark,1
Jiraiya,Sanchez,1
Jiraiya,Rogue,1
Jiraiya.,The,1
Jiraiya,–,1
Jiraiya,that,1
Jiraiya,ofOrochimaru,1
Jiraiya,meto,1
Jiraiya,Tsunadeand,1
Kimimaro,Pervy,1
Kimimaro,Orochimaruwant,1
Kimimaro,Orochimarutruly,1
Kimimaro,Orochimaruis,1
Kimimaro,Ninja,1
Kimimaro,Neji,1
Killer,Temari,1
Jiraiya,Jiraiya.,1
Jira-chan,a,1
Jira-chan,Naruto,1
Jiraiya,Ole,1
Jiraiya,Lee,1
Jiraiya,Kakashi,1
Jiraiya,Jutsuthat,1
Kinuta,Orochimaru,1
Kinuta,Naruto,1
Kin,–,1
Kin,Sasukein,1
Kin,Lee,1
Kimimaro?Get,Zabuza,1
Kimimaro,meon,1
Kimimaro,Shikamaru,1
Jiraiya,Shu,1
Jelly,Shinobi,1
Jelly,Sasuke,1
Jelly,Ninja,1
Jelly,Naruto,1
Jelly,Jirocho,1
Koharu,Orochimaru,1
Kisame,a,1
Kisame,Uchiha,1
Kisame,The,1
Kisame,Lightning,1
Kisame,Lee,1
Kinuta,Sasuke,1
Jin,Sakura,1
Jin,Kakashi,1
Jigumo,Orochimaruand,1
Jigumo,Leaf,1
Itachi!And,Zabuza,1
Jeez,Sagi,1
Jeez,Naruto,1
Janin,The,1
Janin,Ruiga,1
Janin,Jiga,1
Jako,Lee,1
JIROBO,thoughtChoji,1
JIROBO,Sakura,1
Komei,Sagidoes,1
Komei,Mosowho,1
Komei,Land,1
Jibachi,Suzumebachi,1
Jibachi,Shino,1
Jerk,asSasuke,1
Jerk,Sakura,1
Itachi!And,Itachiwho,1
Itachi,thatltachi,1
Itachi,Yashamaru,1
Itachi,The,1
Itachi,Shinobilike,1
Konohamaru,Orochimaru,1
Konohamaru,Ninja,1
Komeihas,Owashi,1
Komeihas,Moso,1
Komei,mewas,1
Izumo,Sakura,1
Itachiwho,Naruto,1
Itachiwho,Kakashi,1
Itachiis,Scaredy-Cat,1
Itachiis,Sakura,1
Itachicome,Uchiha,1
Itachi,Rokusuke,1
Itachi,Roger,1
Itachi,Raiga,1
Itachi,Nine-Tailed,1
Itachi,Nine,1
Itachi,Narutois,1
Itachi,Narutoin,1
Itachi,Kurosuki,1
Konohamaru,himeven,1
Konohamaru,Zabuza,1
Konohamaru,Tonton,1
Konohamaru,That,1
Konohamaru,Temari,1
Itachi!And,Raiga,1
Itachi!And,Naruto,1
Itachi!And,Kakashi,1
Kujakubeing,The,1
Kujakubeing,Natsuhi,1
Kujakubeing,Narutowith,1
Kujakubeing,Naruto,1
Kujaku,–,1
Kujaku,the,1
Kujaku,Yotaka,1
Kujaku,Tenten,1
Kujaku,Shisou,1
Kujaku,Shino,1
Kujaku,Ninja,1
Kujaku,Lee,1
Konohamarutales,Sasuke,1
Konohamarutales,Naruto,1
Konohamaru,methat,1
Itachi,Sasukein,1
Kuni,–,1
Kuni,a-Ninja,1
Itachi,Kabuto,1
Itachi,Jutsu,1
Itachi,Itachiwho,1
Itachi,Itachicome,1
Itachi,Itachi!And,1
Isarirbi,the,1
Isarirbi,mewho,1
Isarirbi,Sasuke,1
Isaribi!lsaribi,the,1
Isaribi!lsaribi,Naruto,1
Kuni,Kunihisato,1
Kunai,Zaku,1
Kunai,Sasuke,1
Kunai,Proctor,1
Isaribi,lsaribi,1
Isaribi,Yoroi,1
Isaribi,Tsunade,1
Isaribi,Toad,1
Isaribi,Shino,1
Isaribi,Sensei,1
Kunoichi,Naruto,1
Kunijiro,Tsunade,1
Kunijiro,Shizune,1
Kunihisato,Tsunade,1
Kunihisato,Ninja,1
Kunihisa,–,1
Kunihisa,Shizune,1
Kunihisa,Papa,1
Kunihisa,Ninja,1
Kunihisa,Kunijiro,1
Iruka,lruka,1
Iruka,himeven,1
Iruka,a,1
Iruka,Zabuza,1
Iruka,Tsunadeto,1
Iruka,Tsunades,1
Iruka,Third,1
Kurenai,Leaf,1
Kurama,Shinobi,1
Kurama,Kurenai,1
Kunoichiwho,Sumaru,1
Kunoichiwho,Natsuhi,1
Kunoichi,Transform,1
Kunoichi,Sannin,1
Kunoichi,Orochimaru,1
Kunoichi,Neji,1
Iruka,Moegi,1
Iruka,Mizukibecause,1
Iruka,Mizukiand,1
Iruka,Leaves,1
Iruka,Konohamarutales,1
Kurenai,Shinoas,1
Kurenai,Rock,1
Kurenai,Neji,1
Kurenai,Narutoall,1
Iruka,Shizune,1
Iruka,Shino,1
Iruka,Sarutobi,1
Iruka,Orochimarujust,1
Iruka,Oli,1
Iruka,theseChunin,1
Iruka,the,1
Intense,thatBushy,1
Intense,roger,1
Intense,Nanafushi,1
Inopig,Sasuke,1
Iruka,Kabuto,1
Iruka,Jutsuthat,1
Iron,Matsuri,1
Inu,the,1
Inu,The,1
Kurenai,askKurenai,1
Kurenai,a,1
Kurenai,Uroko,1
Kurenai,Uchiha,1
Kurenai,Shinobi,1
Iruka,Nara,1
Iruka,Moegi?Pull,1
Ino-Shika-Cho,Neji,1
Ino,–,1
Ino,visitSasuke,1
Ino,meanShino,1
Ino,Yamanaka,1
Ino,Uchiha,1
Ino,Tyson,1
Ino,Tunneling,1
Ino,The,1
Kurenai,underKurenai,1
Kurenai,that,1
Kurenai,ofSasuke,1
Kurenai,madeYakumo,1
Kurenai,locateSasuke,1
Kurenai,d,1
Inu,Leaf,1
Kurosuki,timeto,1
Kurosuki,Zabuza,1
Kurosuki,Tenten,1
Kurosuki,Sakura,1
Kurosuki,Rokusukewas,1
Kuromaru,Shino,1
Kurobachi,Shino,1
Kurenaitook,Tsunade,1
Kurenaitook,Murakumoof,1
Kurenaitook,Murakumoand,1
Kurenaidetermined,absorbingYakumo,1
Ino,Kin,1
Inari,The,1
Ino,Shinobi,1
Ino,Sharingan,1
Ino,Pakkun,1
Leaf,Lee,1
Land,Tenten,1
Land,Sagi,1
Land,Owashi,1
Inari,Ninjathat,1
Idate,the,1
Idate,ldate,1
Idate,Wagarashi,1
Idate,That,1
Idate,Sharingan,1
Land,Ninja,1
Land,Neji,1
Land,Naruto,1
Land,Moso,1
Kyuroku,Wagarashi,1
Kyuroku,Naruto,1
Leaf,Orochimaruand,1
Idate,Sakurain,1
Idate,Jirochi,1
Ichiraku,anyonewho,1
Ichiraku,Tsunade,1
Ichiraku,The,1
Ichiraku,Teuchi,1
Ichiraku,Shinobi,1
Ichiraku,Ryonin,1
Ichiraku,Orochimarumight,1
Leaf,Neji,1
Leaf,Ne,1
Leaf,Natsuhi,1
Leaf,Mi,1
Leaf,Menma,1
Leaf,Mark,1
Ibiki,Sannin,1
Ibiki,Sakura,1
Ibiki,Ninja,1
Ibiki,Lee,1
Ibiki,Kurenai,1
Ibiki,Kabuto,1
Ibiki,Inopig,1
I-Ibiki,Naruto,1
Leaf,andKurenai,1
Leaf,Uma,1
Leaf,Tori,1
Leaf,Tamaya,1
Leaf,Shikamaru,1
Leaf,Sarutobi,1
Leaf,Sakurawith,1
Leaf,Sakura,1
Hyuga,thatHizashi,1
Hyuga,isSasuke,1
Hyuga,branch,1
Hyuga,andNeji,1
Hyuga,Vendetta,1
Hyuga,Uchiha,1
Hyuga,Temari,1
Lee,Nanafushiimmediately,1
Lee,Mondai,1
Lee,Lightning,1
Leaffor,Sasuke,1
Leaf,the,1
Leaf,methat,1
Leaf,isShikamaru,1
Ichiraku,Leaf,1
Ibiki,Vendetta,1
Hyuga,Kibaand,1
Hyuga,Kazekage,1
Hyuga,Ibiki,1
Humph,thatKakashi,1
Humph,peekingand,1
Lee,Rokkaku,1
Lee,Roger,1
Lee,Raigaover,1
Lee,Ninjaby,1
Lee,Nejito,1
Lee,Nejithat,1
Lee,Natsuhiboshi,1
I-Ibiki,Ibiki,1
I,madeYakumo,1
I,Naruto,1
I,Kurenai,1
Lee,Tsunadeand,1
Lee,Tsunada,1
Lee,Todorokiis,1
Lee,That,1
Lee,Tazuna,1
Lee,Tamaya,1
Lee,Shura,1
Lee,Shino,1
Lee,Sharingan,1
Lee,Sasu,1
Lee,Sarutobi,1
Lee,Ryudoin,1
Hyuga,Shikamarugave,1
Hyuga,Shikamaru,1
Hyuga,Shadow,1
Hyuga,Lightning,1
Lee,bob,1
Lee,a,1
Humph,ofJonin,1
Humph,myselffor,1
Humph,a,1
Humph,Zaku,1
Humph,Yoroi,1
Humph,Tyson,1
Humph,Tsurugi,1
Humph,Transform,1
Humph,Temari,1
Humph,Tayuya,1
Humph,Sitting,1
Humph,Sign,1
Humph,Shizune,1
Lee,Yagurathat,1
Humph,Shadow,1
Humph,Sensei,1
Humph,Sannin,1
Humph,Sakon,1
Humph,Owwee,1
Humph,Orochimarutruly,1
Humph,Obito,1
Lee,whereKakashi,1
Lee,the,1
Lee,thatNeji,1
Lee,mewith,1
Lee,mewho,1
Lee,measureSasuke,1
Lee,meanShino,1
Lee,him,1
Lee,gettingRokusuke,1
Humph,Kunoichi,1
Humph,Kunihisa,1
Humph,Komei,1
Humph,Kisame,1
Humph,Kin,1
Humph,Kiba,1
Humph,Jutsuthat,1
Ma,Zu,1
Ma,Sagi,1
Lightning,whenKarashi,1
Lightning,thatHizashi,1
Lightning,Tyson,1
Lightning,Sansho,1
Lightning,Neji,1
Lightning,Naruto,1
Humph,Shino,1
Hoshikage,Shisou,1
Hoshikage,Narutowith,1
Hoshikage,Kujakubeing,1
Hokuto,star,1
Hokuto,leaveSumaru,1
Mangekyo,Uchihawho,1
Mangekyo,Narutowould,1
Humph,Jiraiya,1
Humph,Idate,1
Hotarubi,Neji,1
Hoshikageof,Sumaru,1
Hoshikageand,Natsuhi,1
Hoshikage,star,1
Hoshikage,Yotaka,1
Humph,Ninja,1
Humph,Kurenai,1
Hokuto,Ninja,1
Hokuto,Neji,1
Hokuto,Kunai,1
Hokuto,Hoshikage,1
Hokushin,The,1
Hokushin,Sagitook,1
Hokushin,Naruto,1
Hokushin,Kakashi,1
Hoko,Seimei,1
McCoy,Tsunadehas,1
McCoy,Sagi,1
McCoy,Neji,1
Matsuri,Shikamaru,1
Matsuri,Seimei,1
Matsuri,Sakura,1
Hoshikage,Tsunade,1
Hoki,Owashiand,1
Hoki,McCoy,1
Hoki,Leaf,1
Hoki,Komei,1
Hokagewas,Naruto,1
Hokagein,Toad,1
Mi,Sakura,1
Menmalike,Naruto,1
Menma.lf,Shikamaru,1
Menma.lf,Sasuke,1
Menma.lf,Orochimaruonce,1
Menma,Shizune,1
Menma,Sakura,1
Menma,Rasengan,1
Hokuto,Shadow,1
Hokuto,Rogue,1
Missus,Naruto?!Cha,1
Misogi,Shino,1
Milady,The,1
Might,methat,1
Might,Tsunade,1
Might,Naruto,1
Michizo,Sazanami,1
Mi,uma,1
Mi,tori,1
Mi,tatsu,1
Mi,ne,1
Mi,Sharingan,1
Mi,Sasuke,1
Hoki,mewas,1
Hoki,a,1
Hoki,Sasuke,1
Hokage,andOrochimaru,1
Hokage,Tsunadehas,1
Hokage,Sis,1
Hokage,Shisui,1
Hokageall,Ibiki,1
Hokage,whatKazekage,1
Hokage,usto,1
Hokage,meto,1
Hokage,melike,1
Hokage,lruka,1
Hokage,lnari,1
Hokage,guardingTazuna,1
Hokage,copiesZabuza,1
Mizuki,Mizukibecause,1
Mizukage,Zabuza,1
Missus,Sakura,1
Mizuki,lt,1
Mizuki,lruka,1
Mizuki,a,1
Hokage,Shino,1
Hokage,Sharingan,1
Hokage,Second,1
Hokage,Saru,1
Hokage,Rogue,1
Hokage,Roger,1
Hokage,Rasengan,1
Hokage,Raijin,1
Mizuki,Transform,1
Mizuki,The,1
Mizuki,Shadow,1
Mizuki,Sannin,1
Hokage,controland,1
Hokage,Poccha,1
Hokage,Pervy,1
Hokage,Pakkun,1
Hokage,Ninjasso,1
Hokage,Natsuhiboshi,1
Hokage,Narutoto,1
Hokage,Mondai,1
Hokage,McCoy,1
Hokage,Mark,1
Mizukiand,Tsubaki,1
Mizukiand,Shizune,1
Mizukiand,Sasuke,1
Mizukiand,Orochimarujust,1
Mizukiand,Naruto,1
Mizuki,tolruka,1
Mizuki,ofOrochimaru,1
Hizashi,the,1
Hizashi,Ninja,1
Hizashi,Mark,1
Hizashi,Leaf,1
Hokage,Kamizuru,1
Hokage,Kages,1
Hokage,Kabuto,1
Hokage,K-Kakashi,1
Hokage,Jonin,1
Mizura,The,1
Mizura,Shadow,1
Mizura,Roger,1
Mizura,Neji,1
Mizura,Natsuhi,1
Mizukibecause,Raijin,1
Mizukibecause,Naruto,1
Morino,Shinobi,1
Morino,Omasa,1
Monju,–Gantetsu.,1
Hitsuji,the,1
Hitsuji,The,1
Monju,Shura,1
Moegi?Pull,Ninja,1
Moegi,–,1
Moegi,Ninja,1
Moegi,Moegi?Pull,1
Mm,Ranmaru,1
Mm,Raiga,1
Mm,Neji,1
Hokage,Izumo,1
Hokage,Itachi,1
Hokage,Hokagewas,1
Moso,Sharingan,1
Moso,Sand,1
Hitsuji,Leaf,1
Hitode,Narutois,1
Hitode,Naruto,1
Hitode,Itachi,1
Hinatawould,andShino,1
Hinatawould,Sasuke,1
Hinatawith,–,1
Hinatawill,andShino,1
Hinataunder,Kibaand,1
Hinataunder,Hyuga,1
Hinatas,Kiba,1
Moso,Ninjafrom,1
Moso,Ninja,1
Morino,ldate,1
My,Neji,1
Murakumoof,Tsunade,1
Murakumoand,Murakumoof,1
Murakumo,Yakumoto,1
Murakumo,Unkai,1
Murakumo,Shinobi,1
Murakumo,Shino,1
Murakumo,Sensei,1
Mubi,Sasuke,1
Mubi,Sakura,1
Mosowho,the,1
Mosowho,Tsurucho,1
Moso,mole,1
Moso,methe,1
Moso,a,1
Moso,Shuriken,1
Hinatas,Hinatawith,1
Hinataof,head,1
Hinataof,branch,1
Hinataof,Neji,1
Hinataof,My,1
Hinataever,andShino,1
Hinataever,Hinatawould,1
Hinataever,Hinatawill,1
Hinataare,Shikamaru,1
Hinataand,the,1
Hinataand,Yurinojou,1
Hinataand,The,1
Hinataand,Shino,1
NARUTO,Sakura,1
My,head,1
My,branch,1
Hinata,by,1
Hinata,Yakumoto,1
Hinata,Unkai,1
Hinata,Tsunadeto,1
Hinataand,Misogi,1
Hinataand,Janin,1
Hinata,theHyuga,1
Hinata,removingKurenai,1
Hinata,ofSasuke,1
Hinata,locateSasuke,1
Naruto,Narutois,1
Naruto,Narutoall,1
Nara,Tsubaki,1
Nara,Naruto,1
Nanafushiimmediately,Naruto,1
Nanafushi,roger,1
Hinata,Tokichiis,1
Hinata,That,1
Hinata,Shizune,1
Hinata,Shinoas,1
Hinata,Sharingan,1
Hinata,Sensei,1
Naruto,North,1
Naruto,Ninjasso,1
Naruto,Ninjabe,1
Naruto,Nejito,1
Naruto,Nejiin,1
Naruto,Nawaki,1
Hinata,isKurenai,1
Hinata,insideYakumo,1
Hinata,himselfTokichi,1
Hinata,head,1
Hidden,Natsuhi,1
Hidden,Narutowith,1
Hidden,Kujakubeing,1
Hidden,Hoshikage,1
Hiashi,Yogabut,1
Naruto,Orochimaruonce,1
Naruto,Orochimarumight,1
Naruto,Orochimarujust,1
Naruto,Ocarina,1
Hinata,Kurobachi,1
Hinata,Kikunojouwill,1
Hinata,Kankuro,1
Hinata,Jutsu,1
Hinata,Jonin,1
Hinata,Ninjabe,1
Hinata,Murakumo,1
Hayate,Roger,1
Hayate,Ole,1
Hayate,Naruto,1
Hiashi,Sanchez,1
Hiashi,Ole,1
Hiashi,Mark,1
Hiashi,Kiba,1
Hiashi,Hinatawith,1
Hayate,and,1
Hayate,Yogabut,1
Naruto,Rasenganbefore,1
Naruto,Postman,1
Naruto,Pops,1
Naruto,Pocha,1
Naruto,Paradise,1
Hidden,The,1
Hayate,Ino,1
Hatake,Ninja,1
Harutaro,Yagura,1
Harunato,by,1
Harunato,Jutsu,1
Harunato,Hinata,1
Haruna,sureto,1
Naruto,Sakur--,1
Naruto,Sagitook,1
Naruto,Ryuko,1
Naruto,Ryudoin,1
Naruto,Renga,1
Hayate,Tyson,1
Hayate,The,1
Hayate,Sensei,1
Hayate,Sanchez,1
Harem,the,1
Harem,Transform,1
Harem,Kakashi,1
Hanzakior,toOrochimaru,1
Hanzakior,aboutOrochimaru,1
Hanzakior,Sasuke,1
Hanzakior,Sakura,1
Hanzakior,Pervy,1
Hanzakior,Orochimaru,1
Naruto,Sea,1
Naruto,Sasukewas,1
Naruto,Sasukeis,1
Naruto,Sasukedrove,1
Haruna,Shadow,1
Haruna,Ruiga,1
Haruna,Renga,1
Hana,Shino,1
Hana,Sakura,1
Haku,mealong,1
Haku,Uzumaki,1
Haku,The,1
Naruto,Shisui,1
Naruto,Shinobileft,1
